DLiP-ID,T0014P
DLiP-Mol-ID,14529
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H35N7/c1-6-31(7-2)12-8-9-16(3)27-24-28-18(5)14-23(30-24)29-19-10-11-22-20(15-19)21(25)13-17(4)26-22/h10-11,13-16H,6-9,12H2,1-5H3,(H2,25,26)(H2,27,28,29,30)"
Standard Inchi Key(RDKit),DEFBCZWQLILOJF-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN(CC)CCCC(C)Nc1nc(C)cc(Nc2ccc3nc(C)cc(N)c3c2)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),421.593
MW Monoisotopic(RDKit),421.29539412
MolLogP(RDKit),4.88984
XLogP(SDF),
XLogP(CDK),3.834
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),91.99
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.429095034593693
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Rac1/GEFs
Common Target Pref Name,RAC1/TIAM1
RDKit Descriptors
Ipc,6980574.00514378
qed,0.42909503459369336
Chi0,22.38010440969447
Chi1,14.871743696003255
TPSA,91.99
Chi0n,19.36584017225995
Chi0v,19.36584017225995
Chi1n,11.160220885858434
Chi1v,11.160220885858434
Chi2n,8.142461729056665
Chi2v,8.142461729056665
Chi3n,5.4767786113176875
Chi3v,5.4767786113176875
Chi4n,3.76606066538283
Chi4v,3.76606066538283
MolMR,131.05080000000007
MolWt,421.5930000000002
fr_SH,0
Kappa1,22.748463476585894
Kappa2,10.395019158025475
Kappa3,6.275116142534486
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1014.2255995428768
MolLogP,4.889840000000003
NOCount,7
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.6735477954332059
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,19.8518452936921
SMR_VSA4,0.0
SMR_VSA5,53.50217007345309
SMR_VSA6,36.00151390291257
SMR_VSA7,41.71969133200497
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,185.04291779293055
NHOHCount,4
PEOE_VSA1,21.267154416025324
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,4.9839785209472085
PEOE_VSA5,0.0
PEOE_VSA6,13.847474399381248
PEOE_VSA7,77.51259233650806
PEOE_VSA8,40.25706065113842
PEOE_VSA9,5.516700717616262
RingCount,3
SMR_VSA10,34.043899540269706
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,421.2953941200001
NumHDonors,3
PEOE_VSA10,5.817862777835028
PEOE_VSA11,0.0
PEOE_VSA12,5.948339280986494
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,16.367244685174846
SlogP_VSA2,45.5279553405778
SlogP_VSA3,0.0
SlogP_VSA4,13.847474399381248
SlogP_VSA5,45.000710834620804
SlogP_VSA6,30.33183534230805
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,4
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,0.0
EState_VSA3,11.990180110134455
EState_VSA4,71.95932871256987
EState_VSA5,0.0
EState_VSA6,0.0
EState_VSA7,44.179309741689295
EState_VSA8,51.256634100776644
EState_VSA9,5.733667477162185
SlogP_VSA10,23.140974608188646
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,62.16666666666667
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,1
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,0.0
EState_VSA11,0.0
FractionCSP3,0.4583333333333333
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
